;;;;;;;;;DEPOT NOM : >;Les marionnettes ont une ames;Le diable est mort
;;;;;;;;;DEPOT SURNOM : >;ames;diable
;;;;;;;;;DEPOT TYPE : >;Flyer;Brochure
;;;SCIENCES PO;56 rue des Saints Pères;75006;Paris;;;;15;10
;;;CENTRE CULTUREL NÉERLANDAIS;121 Rue de Lille  ;75007;Paris;;;;15;10
;;;CENTRE D’ANIMATION ESPACE BEAUJON;208 Rue du Fbg St Honoré;75008;Paris;;;;15;10
;;;THÉÂTRE DU ROND POINT;2 Bis Av Franklin Roosevelt;75008;Paris;;;;15;10
;;;CONSERVATOIRE NATIONAL SUPERIEUR D'ART;2 Bis Rue du Conservatoire;75009;Paris;;;;15;10
;;;DRAC ILE DE FRANCE;45 - 47 rue Le Peletier;75009;Paris;;;;15;10
;;;ONDA;13 Bis Rue Henri Monnier;75009;Paris;;;;15;10
;;;SACD;9 Rue Ballu;75009;Paris;;;;10;10
;;;THEMAA;24 Rue Saint Lazare;75009;Paris;;;;15;10
;;;ARCADI - PÔLE RESSOURCES;51 rue du Fbg St Denis;75010;Paris;;;;15;10
;;;CENTRE D'ANIMATION ESPACE JEMMAPES;116 Quai de Jemmapes;75010;;;;;15;10
;;;CENTRE D'ANIMATION LA GRANGE AUX BELLE;55 Rue de la Grange aux Belles;75010;;;;;15;10
;;;CITE EUROPEENNE DES RECOLLETS;150-154 rue du Faubourg Saint-Martin;75010;;;;;15;10
;;;ECOLE JACQUES LECOQ;57 Rue du Fbg St Denis;75010;;;;;15;10
;;;ESPACE CHATEAU LANDON;31 Rue Château Landon;75010;;;;;15;10
;;;RELAIS CULTURE EUROPE;132 rue du Faubourg St Denis;75010;;;;;15;10
;;;THÉÂTRE DES BOUFFES DU NORD;31 bis Boulevard de la Chapelle;75010;;;;;15;10
;;;A LA FOLIE THEATRE;6 Rue de la Folie Mericourt;75011;;;;;15;10
;;;ACADEMIE GRANDES TERRES;5 Rue de Charonne;75011;;;;;15;10
;;;AUTREMENT;77 rue du Fbg St-Antoine;75011;;;;;15;10
;;;CAFÉ DE LA DANSE;5 passage Louis-Philippe;75011;;;;;15;10
;;;CENTRE D'ANIMATION MERCOEUR;4 Rue Mercoeur;75011;;;;;15;10
;;;ECOLE BLEUE;146 Rue de Charonne;75011;;;;;15;10
;;;ECOLE D'ART MARYSE ELOY;1 Rue Bouvier;75011;;;;;15;10
;;;ENSCI;46-48 Rue Saint-Sabin;75011;;;;;15;10
;;;GALERIE ANATOME;38 Rue Sedaine;75011;;;;;15;10
;;;HORS LES MURS;68 Rue de la Folie Méricourt;75011;;;;;15;10
;;;L'AUTRE CAFE;62 rue Jean Pierre Timbaud;75011;;;;;15;10
;;;MAISON DES METALLOS;rue Jean Pierre Timbaud;75011;;;;;15;10
;;;L’IMAGIGRAPHE;84 Rue Oberkampf;75011;;;;;15;10
;;;LA MANOEUVRE;58 rue de la Roquette;75011;;;;;15;10
;;;LA MÉNAGERIE DE VERRE;12/14 Rue Lechevin;75011;;;;;15;10
;;;LE CAFE DES ANGES;66 Rue de la roquette;75011;;;;;15;10
;;;LE CENTRE DES ARTS VIVANTS;4 Rue Bréguet;75011;;;;;15;10
;;;LE DIVAN;60 Rue de la roquette;75011;;;;;15;10
;;;LE LOCAL;18 Rue de l’Orillon;75011;;;;;15;10
;;;LIBRALIRE;116 Rue Saint Maur;75011;;;;;15;10
;;;MAISON DES ASSOCIATIONS DU 11ÈME;8 rue général Renault;75011;;;;;15;10
;;;PARIS ATELIERS - VACQUERIE/ROQUETTE;3-5 rue La Vacquerie;75011;;;;;15;10
;;;STUDIO HARMONIC;5 Passage des Taillandiers;75011;;;;;15;10
;;;THEATRE ARTISTIC ATHEVAINS;45 Bis Rue Richard Lenoir;75011;;;;;15;10
;;;THÉATRE DE BELLEVILLE;Passage Piver - 94 rue du Faubourg du temple;75011;;;;;15;10
;;;THÉÂTRE DE LA BASTILLE;76 Rue de la Roquette;75011;;;;;15;10
;;;THEATRE DE LA DANSE;77 Rue de Charonne;75011;;;;;15;10
;;;ECOLE BOULLE;9 Rue Pierre Bourdan;75012;;;;;15;10
;;;LE 100 - ATELIER EN COMMUN;100 rue de Charenton;75012;;;;;15;10
;;;THÉÂTRE DE L’AQUARIUM;La Cartoucherie;75012;;;;;10;10
;;;THÉÂTRE DE LA TEMPÊTE;Cartoucherie;75012;;;;;10;10
;;;THÉÂTRE DU CHAUDRON;Cartoucherie;75012;;;;;10;10
;;;THÉÂTRE DU SOLEIL;Cartoucherie;75012;;;;;15;10
;;;COURANT D’ART FRAIS;19 Rue de la Fontaine à Mulard;75013;;;;;15;10
;;;ECOLE SUPÉRIEURE ESTIENNE;18 Boulevard Blanqui;75013;;;;;15;10
;;;LES GOBELINS;73 Bd St Marcel;75013;;;;;15;10
;;;THÉÂTRE DUNOIS;108 Rue du Chevaleret;75013;;;;;15;10
