;;;;;;;;;DEPOT NOM : >;Unis vers cités
;;;;;;;;;DEPOT SURNOM : >;vers
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
non localisé;inconnu;;CONSERVATOIRE JP RAMEAU;3 ter rue de Mabillon;75006;PARIS;;GRATADOUR;;20
Ok;inconnu;;Académie américaine de danse à Paris;100, rue du Cherche Midi;75006;PARIS;;DESNOES;;20
Ok;inconnu;;Atelier de Sèvres;47 rue de Sèvres;75006;PARIS;;VILLARD;;20
non localisé;inconnu;;BUREAU DES ARTS SCIENCES PO;27 rue Saint Guillaume;75007;PARIS;;;;20
non localisé;inconnu;;CENTRE NATIONAL DU LIVRE Hôtel d’Avejan;53 rue Verneuil;75007;PARIS;;;;20
non localisé;inconnu;;Théâtre du Rond Point;2 rue Franklin Roosvelt;75008;PARIS;;TRACQ;;20
Ok;inconnu;;CONSERVATOIRE NATIONAL DE REGION/PARIS;14 rue de Madrid;75008;PARIS;;;;20
Ok;inconnu;;Jeu de Paume;1, Place de la Concorde;75008;PARIS;;BOUCHARLAT;;20
non localisé;inconnu;;Groupe EAC;33 rue Laboetie;75008;PARIS;;CHESTA;;20
Ok;ouvert;773;DRAC ILE DE FRANCE;47 rue Le peletier;75009;PARIS;;;;20
Ok;ouvert;772;ATHENEE THEATRE LOUIS JOUVET;24 rue de Caumartin;75009;PARIS;;MAURICE;;20
Ok;ouvert;558;SACD Maison des auteurs;7 rue Ballu;75009;PARIS;;;;20
Ok;ouvert;557;SACD;9 rue Ballu;75009;PARIS;;ROTH;;20
non localisé;inconnu;;ADAMI;14,16 rue George Ballu;75009;PARIS;;;;20
non localisé;inconnu;;ONDA;13 bis rue Henry Monnier;75009;PARIS;;OHANA;;20
Ok;inconnu;;ACTING INTERNATIONAL (école de théâtre);15 rue Ambroise Thomas;75009;PARIS;;;;20
Ok;ouvert;771;CONSERVATOIRE NADIA ET LILI BOULANGER;17 rue de Rochechouart;75009;PARIS;;;;20
Ok;ouvert;582;ESPACE JEMMAPES;116 quai de Jemmapes;75010;PARIS;;;;20
non localisé;inconnu;;POINT EPHEMERE;190 quai de Valmy;75010;PARIS;;TANGUY;;20
Ok;inconnu;;MAISON des ASSOCIATIONS;206 quai de valmy;75010;PARIS;;;;20
Ok;ouvert;775;ECOLE INTERNATIONALE JACQUES LECOQ;57 rue du Faubourg Saint Denis;75010;PARIS;;Gillet;;20
Ok;ouvert;776;CONSERVATOIRE HECTOR BERLIOZ;6 rue Pierre Bullet;75010;PARIS;;GARRAY;;20
non localisé;inconnu;;THEATRE DES BOUFFES DU NORD;37 bis bd de la Chapelle;75010;PARIS;;;;20
Ok;ouvert;776;CONSERVATOIRE HECTOR BERLIOZ;6 rue Pierre Bullet;75010;PARIS;;TRONO;;20
Ok;inconnu;;STUDIO HARMONIC;5 passage des Taillandiers;75011;PARIS;;Jean-Pierre;;20
Ok;inconnu;;LA LOGE;77 rue de Charonne;75011;PARIS;;;;20
Ok;inconnu;;LE CENTRE DES ARTS VIVANTS;4 rue Bréguet;75011;PARIS;;FERRARI;;20
Ok;ouvert;790;Théâtre de la Bastille;76 rue de la Roquette;75011;PARIS;;PINEAU;;20
Ok;inconnu;;Théâtre de la Boutonnière;25 rue popincourt;75011;PARIS;;MESLEM;;20
Ok;ouvert;779;MENAGERIE DE VERRE;12/14 rue Lechevin;75011;PARIS;;;;20
Ok;ouvert;793;LA MAISON DES METALLOS;94 rue Jean-Pierre Timbaud;75011;PARIS;;;;20
Ok;inconnu;;ATELIER INTERNATIONAL DE THEATRE;14 rue Crespin du Gast;75011;PARIS;;SALANT;;20
Ok;inconnu;;Atelier PREP'ART;23 passage Ménilmontant;75011;PARIS;;;;20
Ok;ouvert;792;CONSERVATOIRE CHARLES MUNCH;7 rue Duranti;75011;PARIS;;;;20
non localisé;inconnu;;THEATRE ARTISTIC ATHEVAINS;45 bis rue Richard Lenoir;75011;PARIS;;DUHAMEL;;20
non localisé;inconnu;;THEATRE DE LA DANSE;77 rue de Charonne;75011;PARIS;;HARMEL;;20
Ok;inconnu;924;COURS SIMON;14 rue de la Vacquerie;75011;PARIS;;MARGAT;;20
Ok;inconnu;;STUDIO DANSE THEATRE ET MUSIQUE;6 rue de la Folie Mericourt;75011;PARIS;;SCHMIDT;;20
Ok;inconnu;;Centre Recherche Théâtre handicap;163 rue de Charenton;75012;PARIS;;Caillaud;;20
