;;;;;;;;;DEPOT NOM : >;Les metaleux ont une ames
;;;;;;;;;DEPOT SURNOM : >;metaleux
;;;;;;;;;DEPOT TYPE : >;Flyer
;;;;;;;;;DEPOT QUANTITEE : >;2660
;;;;;;;;;DEPOT VOLUME : >;99.0
;;;;;;;;;DEPOT CARTONS : >;2
;;;;;;;;;DEPOT REMARQUE : >;ha oui
;;;;;;;;;DEPOT POID CARTONS : >;12
;;;;;;;;;DEPOT NB PAQUET : >;10
;;;;;;;;;DEPOT PRIX : >;0.5
;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;
;;;CFJ- ECOLE DE JOURNALISME;35, rue du Louvre;75002;PARIS;;;;20
;;;Maison des initiatives étudiantes;50 rue des Tournelles;75003;PARIS;;;;20
;;;LIBRAIRIE OFR;20 rue Dupetit-Thouars;75003;PARIS;;;;20
;;;CENTRE CULTUREL SUISSE;32 rue des Francs Bourgeois;75003;PARIS;;;;20
;;;LA GAITE LYRIQUE;3 bis rue Papin;75003;PARIS;;;;20
;;;MAISON DE LA POÉSIE;"""Passage Molière
157, rue Saint-Martin""";75003;PARIS;;;;20
;;;ESAA DUPERRÉ - ECOLE SUPÉRIEURE DES ARTS APPLIQUÉS;11 rue Dupetit-Thouars;75003;PARIS;;;;20
;;;BREAK DANCE CREW;14 bis rue des rosiers;75004;PARIS;;;;20
;;;CENTRE D'ANIMATION SIMON LEFRANC;9, rue Simon Lefranc;75004;PARIS;;;;20
;;;CENTRE WALLONIE-BRUXELLES;7, rue de Venise;75004;PARIS;;;;20
;;;LA MAISON EUROPÉENNE DE LA PHOTOGRAPHIE;82 rue François Miron;75004;PARIS;;;;20
;;;MICADANSES;16, rue Geoffroy-l'asnier;75004;PARIS;;;;20
;;;CENTRE DE DANSE DU MARAIS;41 rue du Temple;75004;PARIS;;;;20
;;;JTN - LE JEUNE THÉÂTRE NATIONAL;13, rue des Lions Saint-Paul;75004;PARIS;;;;20
;;;KIOSQUE JEUNES MARAIS;14 rue François Miron;75004;PARIS;;;;20
;;;CENTRE D'ANIMATION ARRAS;Passage d'Arras;75005;PARIS;;;;20
;;;Maison Quart Monde;15 rue Maître-Albert;75005;PARIS;;;;20
;;;LE MOUFFETARD - THEATRE DES ARTS DE LA MARIONNETTE;73 rue Mouffetard;75005;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL DU 5ÈME GABRIEL FAURÉ;12 rue Pontoise;75005;PARIS;;;;20
;;;BIBLIOTHEQUE DE L'ENSAD - ÉCOLE NATIONALE SUPÉRIEURE DES ARTS DÉCO;31, rue d'Ulm;75005;PARIS;;;;20
;;;UNIVERSITÉ PARIS 3 - BIBLIOTHEQUE GASTON BATY;13 rue de Santeuil;75005;PARIS;;;;20
;;;MEDIATHEQUE CIPH - COLLÈGE INTERNATIONAL DE PHILOSOPHIE;1, rue Descartes;75005;PARIS;;;;20
;;;BILLETTERIE SERVICE CULTUREL;13, rue de Santeuil;75005;PARIS;;;;20
;;;UNIVERSITE PARIS 3 DPT INSTITUT ETUDES THEATRALES;13 rue de Santeuil;75005;PARIS;;;;20
;;;CENTRE D'ANIMATION SAINT MICHEL;9 place st michel;75006;PARIS;;;;20
;;;LE LUCERNAIRE;53 rue Notre-Dame des champs;75006;PARIS;;;;20
;;;MAISON DES CULTURES DU MONDE;101 bd Raspail;75006;PARIS;;;;20
;;;MPAA - MAISON DES PRATIQUES ARTISTIQUES ET AMATEUR;4 rue Félibien;75006;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL JEAN-PHILIPPE RAMEAU;3ter rue de Mabillon;75006;PARIS;;;;20
;;;ENSBA;14 rue Bonaparte;75006;PARIS;;;;20
;;;CROUS CENTRE CULTUREL UNIVERSITAIRE;12 RUE DE L'ABBAYE;75006;PARIS;;;;20
;;;LIBRAIRIE COUP DE THÉÂTRE;19 bd Raspail;75007;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL DU 7ÈME ERIK SATIE;135 bis rue de l'Université;75007;PARIS;;;;20
;;;BDA SCIENCES PO;56 rue des Saints Pères;75007;PARIS;;;;20
;;;CENTRE D'ANIMATION ESPACE BEAUJON;208, rue du Faubourg-Saint-Honoré;75008;PARIS;;;;20
;;;JEU DE PAUME;1, place de la concorde;75008;PARIS;;;;20
;;;THÉATRE DU ROND-POINT;2 bis, av. Franklin Roosevelt;75008;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL CAMILLE SAINT-SAËNS;208 rue du Faubourg Saint Honoré;75008;PARIS;;;;20
;;;CENTRE D'ANIMATION PAUL VALEYRE;24, rue de Rochechouart;75009;PARIS;;;;20
;;;COMITÉ RÉGIONAL DU TOURISME PARIS IDF;11 rue du Baubourg Poissonnière;75009;Paris;;;;20
;;;ATHÉNÉE - THÉATRE LOUIS JOUVET;"""Square de l'Opéra Louis Jouvet 
7, rue Boudreau""";75009;PARIS;;;;20
;;;MAISON DES AUTEURS;7 Rue Ballu;75009;PARIS;;;;20
;;;CNSAD - CONSERVATOIRE NATIONAL;2 bis, rue du Conservatoire;75009;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL NADIA ET LILI BOULANGER;17 rue de Rochechouart;75009;PARIS;;;;20
;;;CENTRE D'ANIMATION CHATEAU LANDON;31 rue de Château Landon;75010;PARIS;;;;20
;;;CENTRE D'ANIMATION JEAN VERDIER;11, rue de Lancry;75010;PARIS;;;;20
;;;CENTRE D'ANIMATION LA GRANGE-AUX-BELLES;55, rue de la Grange aux Belles;75010;PARIS;;;;20
;;;CENTRE SOCIAL AIRES 10;2 rue du Buisson Saint-Louis;75010;PARIS;;;;20
;;;CENTRE SOCIAL LE PARI DES FAUBOURGS;12 rue Léon Schwartzenberg, 75010 Paris.;75010;PARIS;;;;20
;;;CENTRES D'ANIMATION - CRL10;116 quai de Jemmapes;75010;PARIS;;;;20
;;;LIBRAIRIE ARTAZART;83 Quai de Valmy;75010;PARIS;;;;20
;;;LE POINT EPHÉMÈRE;200, quai de Valmy;75010;PARIS;;;;20
;;;THÉATRE DES BOUFFES DU NORD;37 bis Bd de la Chapelle;75010;PARIS;;;;20
;;;CITÉ EUROPÉENNE DES RÉCOLLETS;150-154, rue du Faubourg Saint-Martin;75010;PARIS;;;;20
;;;LE LOUXOR - PALAIS DU CINÉMA;170, boulevard Magenta;75010;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL HECTOR BERLIOZ;6 rue Pierre Bullet;75010;PARIS;;;;20
;;;ALJT - SEDAINE -  LOGEMENTS JEUNES TRAVAILLEURS;35 rue Sedaine;75011;PARIS;;;;20
;;;CENTRE SOCIAL LE PICOULET;59 rue de la Fontaine au Roi;75011;PARIS;;;;20
;;;CENTRE SOCIAL SOLIDARITÉ ROQUETTE;47, rue de la Roquette;75011;PARIS;;;;20
;;;LIBRAIRIE LES GUETTEURS DE VENT;108 avenue parmentier;75011;PARIS;;;;20
;;;LIBRAIRIE LA FRICHE;36 rue Léon Frot;75011;PARIS;;;;20
;;;LIBRAIRIE LIBRALIRE;116, rue Saint-Maur;75011;PARIS;;;;20
;;;LIBRAIRIE VIOLETTE AND CO;102 rue de Charonne;75011;PARIS;;;;20
;;;CAFÉ DE LA DANSE;5, passage Louis-Philippe;75011;PARIS;;;;20
;;;LA LOGE;77, rue de Charonne;75011;Paris;;;;20
;;;LE LOCAL- OMBRE EN LUMIÈRE; 18 rue de l'Orillon;75011;PARIS;;;;20
;;;MÉNAGERIE DE VERRE;12-14 rue Lechevin;75011;PARIS;;;;20
;;;THÉATRE DE BELLEVILLE;94 rue du Faubourg du temple;75011;PARIS;;;;20
;;;THÉÂTRE DE LA BASTILLE;76 rue de La Roquette;75011;PARIS;;;;20
;;;THÉÂTRE LA BOUTONNIÈRE;25 rue Popincourt;75011;PARIS;;;;20
;;;GERNIGON;7 rue Duranti;75011;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL DU 11ÈME - CHARLES MÜNCH;7 rue Duranti;75011;PARIS;;;;20
;;;ECOLE D'ART MARYSE ELOY;1 rue Bouvier;75011;PARIS;;;;20
;;;RÉSIDENCE ÉTUDIANTE - LES ESTUDINES RÉPUBLIQUE;100 rue Oberkampf;75011;PARIS;;;;20
;;;ECOLE NATIONALE SUPÉRIEURE DE CRÉATION INDUSTRIELL;48 Rue St Sabin;75011;PARIS;;;;20
;;;CENTRE D'ANIMATION BERCY;51, rue François Truffaut;75012;PARIS;;;;20
;;;CENTRE D'ANIMATION MAURICE RAVEL;6 ave Maurice Ravel;75012;PARIS;;;;20
;;;CENTRE D'ANIMATION MONTGALLET;4, passage Stinville;75012;PARIS;;;;20
;;;CENTRE D'ANIMATION VILLIOT-RAPÉE;36, Quai de la Rapée;75012;PARIS;;;;20
;;;CENTRE SOCIAL RELAIS 59;1 rue Hector Malot;75012;PARIS;;;;20
;;;ESPACE REUILLY;19, rue Hénard;75012;PARIS;;;;20
;;;ATELIER DE PARIS - CAROLYN CARLSON;Cartoucherie;75012;PARIS;;;;20
;;;CNHI CITÉ NATIONALE DE L'HISTOIRE DE L'IMMIGRATION;293 avenue dausmenil;75012;PARIS;;;;20
;;;LA MAISON ROUGE - FONDATION  ANTOINE DE GALBERT;10 boulevard de la Bastille;75012;PARIS;;;;20
;;;THÉATRE DE LA TEMPETE;Route du Champs de Manouvre;75012;PARIS;;;;20
;;;THÉATRE DE L'AQUARIUM;Route du Champ de Manouvre;75012;PARIS;;;;20
;;;CONSERVATOIRE MUNICIPAL PAUL DUKAS;45, rue de Picpus;75012;PARIS;;;;20
;;;STUDIO ALAIN DE BOCK;Association Bordigales Culture;75012;PARIS;;;;20
;;;ECOLE FRANCAISE D'ENSEIGNEMENT TECHNIQUE PRIVEE;110 rue de Picpus;75012;PARIS;;;;20
;;;BIBLIOTHEQUE ECOLE BOULLE;9-21 rue Pierre Bourdan;75012;PARIS;;;;20
;;;CENTRE D'ANIMATION BAUDRICOURT;6, rue Simone Weil;75013;PARIS;;;;20
;;;CENTRE D'ANIMATION DAVIEL;24, rue Daviel;75013;PARIS;;;;20
