;;;;;;;;;DEPOT NOM : >;Art PUTE;Echecs PUTE;Go PUTE;;
;;;;;;;;;DEPOT SURNOM : >;FUR;HER;NEC;;
;;;;;;;;;DEPOT TYPE : >;5;5;5;;
;;;;;;;;;DEPOT QUANTITEE : >;1000;3000;2000;;
;;;;;;;;;DEPOT VOLUME : >;99.0;999.0;999.0;;
;;;;;;;;;DEPOT CARTONS : >;2;5;3;;
;;;;;;;;;DEPOT REMARQUE : >;ha oui;ha non ;ha bof;;
;;;;;;;;;DEPOT POID CARTONS : >;12.0;11.0;4.0;;
;;;;;;;;;DEPOT NB PAQUET : >;;;;;
;;;;;;;;;DEPOT PRIX : >;;;;;
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;;;;;
Ok;ouvert;828; Mains D'oeuvres (salle de concerts, événements);1 Rue Charles Garnier;93400;ST OUEN;;;;;;;;
Ok;inconnu;921;LA DYNAMO;9 Rue Gabrielle Josserand;93500;PANTIN;;;;;;;;
non localisé;inconnu;;ESAD;12 place carré;75000;PARIS;;;;;;;;
Ok;inconnu;922;JTN ;13 Rue des Lions Saint-Paul;75004;PARIS;;;;;;;;
Ok;inconnu;923;PARIS III CENTRE CENSIER (Kiosque Billetterie);13 Rue Santeuil;75005;PARIS;;;;;;;;
Ok;ouvert;769;SACD;11 Rue Ballu;75009;PARIS;;;;;;;;
Ok;inconnu;924;COURS  RENE SIMON;14 Rue la Vacquerie;75011;PARIS;;;;;;;;
Ok;inconnu;925;LA MAISON ROUGE Fondation Antoine de Galbert; Boulevard de la Bastille;75012;PARIS;;;;;;;;
Ok;ouvert;696;HALLE SAINT-PIERRE;2 Rue Ronsard;75018;PARIS;;;;;;;;
Ok;inconnu;926;SUDDEN THEATRE;14 Rue Sainte-Isaure;75020;PARIS;;;;;;;;
Ok;inconnu;927;THEATRE PARIS VILETTE;221 Avenue Jean Jaurès;75019;PARIS;;;;;;;;
Ok;ouvert;699;Trabendo ;211 Avenue Jean Jaurès;75019;PARIS;;;;;;;;
Ok;inconnu;928;BIBLIOTHEQUE ADULTE;41 Avenue de Flandre;75019;PARIS;;;;;;;;
Ok;inconnu;929;LE TARMAC;159 Avenue Gambetta;75020;PARIS;;;;;;;;
Ok;ouvert;814;Conservatoire Georges Bizet;54 Rue des Cendriers;75020;PARIS;;;;;;;;
Ok;inconnu;930;CINE 104;104 Avenue Jean Lolive;93500;PANTIN;;;;;;;;
Ok;inconnu;931;THEATRE ECOLE;2 Rue Sadi Carnot;93500;PANTIN;;;;;;;;
Ok;inconnu;932;BIBLIOTHÈQUE GOUTTE D'OR;4 Rue Fleury;75018;PARIS;;;;;;;;
