;;;;;;;;;DEPOT NOM : >;Unis vers cités PUTE;;
;;;;;;;;;DEPOT SURNOM : >;vers;;
;;;;;;;;;DEPOT TYPE : >;1;;
;;;;;;;;;DEPOT QUANTITEE : >;2660;;
;;;;;;;;;DEPOT VOLUME : >;99.0;;
;;;;;;;;;DEPOT CARTONS : >;2;;
;;;;;;;;;DEPOT REMARQUE : >;ha oui;;
;;;;;;;;;DEPOT POID CARTONS : >;12.0;;
;;;;;;;;;DEPOT NB PAQUET : >;;;
;;;;;;;;;DEPOT PRIX : >;;;
INFO DEVIS : |;INFO KAF : |;REF : |;NOM  : |;ADRESSE : |;CP : |;VILLE : |;INFORMATION LIEU : |;DESTINATAIRE : |;LIEU PRIX : |;;;
non localisé;inconnu;;BUREAU DES ARTS SCIENCES PO;27 rue Saint-Guillaume;75007;PARIS;;;;;;
non localisé;inconnu;;CENTRE NATIONAL DU LIVRE Hôtel d’Avejan;53 rue Verneuil;75007;PARIS;;;;;;
non localisé;inconnu;;Théâtre du Rond Point;2 avenue Franklin Roosvelt;75008;PARIS;;;;;;
Ok;inconnu;;CONSERVATOIRE NATIONAL DE REGION/PARIS;14 Rue de Madrid;75008;PARIS;;;;;;
Ok;inconnu;;Jeu de Paume;Place de la Concorde;75008;PARIS;;;;;;
Ok;inconnu;;Groupe EAC;33 Rue La Boétie;75008;PARIS;;;;;;
Ok;ouvert;773;DRAC;47 Rue le Peletier;75009;PARIS;;;;;;
Ok;ouvert;772;Théâtre de l'Athénée;24 Rue de Caumartin;75009;PARIS;;;;;;
Ok;ouvert;558;SACD acceuil;9 Rue Ballu;75009;PARIS;;;;;;
Ok;ouvert;557;SACD librairie;7 Rue Ballu;75009;PARIS;;;;;;
Ok;inconnu;;ADAMI;16 Rue Ballu;75009;PARIS;;;;;;
non localisé;inconnu;;ONDA;13 bis rue Henry Monnier;75009;PARIS;;;;;;
Ok;inconnu;;ACTING INTERNATIONAL (école de théâtre);Rue Ambroise Thomas;75009;PARIS;;;;;;
Ok;ouvert;771;Conservatoire Nadia et Lili Boulanger;17 Rue de Rochechouart;75009;PARIS;;;;;;
